zip_m;yyyy;year;mm;month;name2;zipcode;county;idmonth
20637;2015;2015;1;1; MD;20646;Charles;8-ene
20653;2015;2015;1;1; MD;20653;Saint Marys;18-ene
20688;2015;2015;1;1; MD;20714;Calvert;4-ene
20871;2015;2015;1;1; MD;20853;Montgomery;15-ene
21040;2015;2015;1;1; MD;21084;Harford;12-ene
21158;2015;2015;1;1; MD;21158;Carroll;6-ene
21208;2015;2015;1;1; MD;21222;Baltimore;3-ene
21502;2015;2015;1;1; MD;21502;Allegany;1-ene
21638;2015;2015;1;1; MD;21638;Queen Annes;17-ene
21639;2015;2015;1;1; MD;21655;Caroline;5-ene
21643;2015;2015;1;1; MD;21613;Dorchester;9-ene
21801;2015;2015;1;1; MD;21801;Wicomico;22-ene
21811;2015;2015;1;1; MD;21811;Worcester;23-ene
21853;2015;2015;1;1; MD;21853;Somerset;19-ene
20637;2015;2015;2;2; MD;20646;Charles;8-feb
20653;2015;2015;2;2; MD;20619;Saint Marys;18-feb
20688;2015;2015;2;2; MD;20732;Calvert;4-feb
20871;2015;2015;2;2; MD;20876;Montgomery;15-feb
21040;2015;2015;2;2; MD;21084;Harford;12-feb
21158;2015;2015;2;2; MD;21158;Carroll;6-feb
21208;2015;2015;2;2; MD;21204;Baltimore;3-feb
21502;2015;2015;2;2; MD;21502;Allegany;1-feb
21638;2015;2015;2;2; MD;21638;Queen Annes;17-feb
21639;2015;2015;2;2; MD;21660;Caroline;5-feb
21643;2015;2015;2;2; MD;21613;Dorchester;9-feb
21801;2015;2015;2;2; MD;21801;Wicomico;22-feb
21811;2015;2015;2;2; MD;21811;Worcester;23-feb
21853;2015;2015;2;2; MD;21853;Somerset;19-feb
20637;2015;2015;3;3; MD;20602;Charles;8-mar
20653;2015;2015;3;3; MD;20653;Saint Marys;18-mar
20688;2015;2015;3;3; MD;20714;Calvert;4-mar
20871;2015;2015;3;3; MD;20899;Montgomery;15-mar
21040;2015;2015;3;3; MD;21047;Harford;12-mar
21158;2015;2015;3;3; MD;21158;Carroll;6-mar
21208;2015;2015;3;3; MD;21204;Baltimore;3-mar
21502;2015;2015;3;3; MD;21502;Allegany;1-mar
21638;2015;2015;3;3; MD;21619;Queen Annes;17-mar
21639;2015;2015;3;3; MD;21655;Caroline;5-mar
21643;2015;2015;3;3; MD;21869;Dorchester;9-mar
21801;2015;2015;3;3; MD;21801;Wicomico;22-mar
21811;2015;2015;3;3; MD;21811;Worcester;23-mar
21853;2015;2015;3;3; MD;21853;Somerset;19-mar
20637;2015;2015;4;4; MD;20675;Charles;8-abr
20653;2015;2015;4;4; MD;20650;Saint Marys;18-abr
20688;2015;2015;4;4; MD;20688;Calvert;4-abr
20871;2015;2015;4;4; MD;20816;Montgomery;15-abr
21040;2015;2015;4;4; MD;21040;Harford;12-abr
21158;2015;2015;4;4; MD;21158;Carroll;6-abr
21208;2015;2015;4;4; MD;21204;Baltimore;3-abr
21502;2015;2015;4;4; MD;21502;Allegany;1-abr
21638;2015;2015;4;4; MD;21623;Queen Annes;17-abr
21639;2015;2015;4;4; MD;21632;Caroline;5-abr
21643;2015;2015;4;4; MD;21643;Dorchester;9-abr
21801;2015;2015;4;4; MD;21801;Wicomico;22-abr
21811;2015;2015;4;4; MD;21811;Worcester;23-abr
21853;2015;2015;4;4; MD;21853;Somerset;19-abr
20637;2015;2015;5;5; MD;20616;Charles;8-may
20653;2015;2015;5;5; MD;20659;Saint Marys;18-may
20688;2015;2015;5;5; MD;20615;Calvert;4-may
20871;2015;2015;5;5; MD;20886;Montgomery;15-may
21040;2015;2015;5;5; MD;21040;Harford;12-may
21158;2015;2015;5;5; MD;21158;Carroll;6-may
21208;2015;2015;5;5; MD;21237;Baltimore;3-may
